Gender,Age,University,Degree_level,Degree_major,Academic_year,CGPA,Residential_status,Sports_engagement,Average_sleep,Study_satisfaction,Academic_workload ,Academic_pressure,Financial_concerns,Social_relationships,Depression,Anxiety,Isolation,Stress_relief_activities
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.56,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,1st year,5.78,Off-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.96,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.03,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,2nd year,6.42,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,1st year,5.24,On-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Data SCience,1st year,6.96,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,3rd year,5.11,Off-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.91,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,4th year,6.74,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.14,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Computer Science,3rd year,5.83,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,3rd year,6.82,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.01,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.68,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Data SCience,1st year,6.02,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,3rd year,7.26,On-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.48,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Data SCience,2nd year,7.94,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.74,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,8.69,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.23,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.62,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.11,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,1st year,5.11,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.91,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Data SCience,4th year,8.95,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Data SCience,4th year,8.51,Off-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,2nd year,6.9,Off-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Computer Science,2nd year,5.26,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,4th year,8.36,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,4th year,7.96,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Data SCience,3rd year,8.06,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,1st year,7.78,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Computer Science,4th year,8.95,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Data SCience,3rd year,5.25,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Computer Science,4th year,8.62,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Data SCience,2nd year,7.08,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.79,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,4th year,8.31,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,3rd year,8.4,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Computer Science,4th year,7.3,Off-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Data SCience,1st year,5.79,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,1st year,7.63,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.16,Off-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,1st year,6.97,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,1st year,5.26,Off-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,1st year,6.21,Off-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Computer Science,1st year,5.37,Off-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,2nd year,7.17,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.97,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Computer Science,2nd year,6.96,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Data SCience,2nd year,6.43,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.37,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.24,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.14,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Computer Science,1st year,7.51,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,4th year,6.48,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,3rd year,7.19,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,4th year,7.53,On-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Data SCience,3rd year,7.97,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,2nd year,6.26,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.77,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.61,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Data SCience,2nd year,6.48,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,1st year,7.42,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,1st year,6.18,Off-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,2nd year,6.58,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.7,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.84,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Data SCience,3rd year,7.77,Off-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Data SCience,1st year,6.24,Off-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,2nd year,6.2,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Computer Science,3rd year,6.7,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,8.07,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.86,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Data SCience,4th year,8.54,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.04,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Computer Science,3rd year,5.22,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,2nd year,7.28,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Computer Science,4th year,7.96,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Data SCience,2nd year,7.93,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.94,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,1st year,5.34,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.26,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,3rd year,8.33,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Data SCience,4th year,8.42,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.67,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Computer Science,2nd year,5.81,Off-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Data SCience,2nd year,5.13,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,4th year,7.63,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,1st year,7.11,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,4th year,6.52,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Computer Science,1st year,8.64,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,8.25,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,4th year,5.65,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,8.41,On-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.74,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.11,Off-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.33,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,2nd year,7.89,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Data SCience,4th year,7.72,On-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Computer Science,3rd year,6.78,Off-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Data SCience,3rd year,8.25,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Data SCience,1st year,8.77,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Data SCience,4th year,5.88,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,1st year,8.82,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,1st year,8.82,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,1st year,7.91,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.28,On-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Computer Science,3rd year,8.28,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,2nd year,6.45,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,2nd year,5.79,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Computer Science,3rd year,5.67,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.27,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,2nd year,7.29,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.77,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.76,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,1st year,7.57,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Data SCience,1st year,7.54,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Data SCience,1st year,5.93,On-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Data SCience,3rd year,6.23,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.29,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Data SCience,3rd year,5.6,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Computer Science,1st year,5.14,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,1st year,5.49,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.83,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.61,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,3rd year,7.7,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,3rd year,5.39,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.61,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Computer Science,1st year,5.47,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.21,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,8.51,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.98,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.45,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,4th year,7.99,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,2nd year,6.55,On-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.19,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,2nd year,6.02,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,8.82,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Computer Science,3rd year,5.47,Off-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Data SCience,2nd year,8.06,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,1st year,5.32,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.77,Off-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Data SCience,2nd year,6.55,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,3rd year,8,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Computer Science,1st year,8.85,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,3rd year,8.53,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,4th year,6.66,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Data SCience,1st year,8.9,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,1st year,6.78,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,4th year,7.1,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,3rd year,5.74,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.93,On-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Data SCience,1st year,6.29,On-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Data SCience,4th year,8.78,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,4th year,5.84,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.29,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Computer Science,2nd year,6.18,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.45,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.74,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Data SCience,1st year,8.25,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.66,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,8.57,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,4th year,6.02,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Data SCience,2nd year,8.06,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Computer Science,4th year,7.1,Off-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Data SCience,4th year,5.21,On-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Data SCience,2nd year,5.28,Off-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Data SCience,1st year,8.88,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,3rd year,7.8,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Data SCience,3rd year,5.21,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,3rd year,8.89,Off-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Data SCience,3rd year,5.84,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,1st year,8.25,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Computer Science,4th year,6.52,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,1st year,8.89,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Computer Science,2nd year,7.84,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Computer Science,1st year,8.81,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,8.12,Off-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,1st year,5.77,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Data SCience,3rd year,5.62,On-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Computer Science,4th year,5.52,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Data SCience,2nd year,7.85,On-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.2,Off-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.1,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,2nd year,6.99,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Data SCience,2nd year,7.16,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.52,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.98,On-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.04,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.76,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,5.81,On-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Computer Science,4th year,6.82,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,5.17,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,3rd year,6.99,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,2nd year,7.86,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,3rd year,5.11,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Data SCience,2nd year,5.21,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.92,Off-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Data SCience,3rd year,5.86,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,3rd year,7.25,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,3rd year,5.84,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,2nd year,6.75,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.59,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Computer Science,1st year,8.76,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,8.85,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,1st year,7.38,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Data SCience,4th year,5.87,Off-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.23,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Data SCience,3rd year,8.89,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,3rd year,7.37,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.85,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,1st year,8.8,Off-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,1st year,7.53,Off-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.81,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.83,Off-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.37,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.65,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Data SCience,2nd year,8.23,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,1st year,6.5,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.92,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Data SCience,1st year,8.51,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,1st year,7.7,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,1st year,5.52,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Computer Science,1st year,5.61,Off-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.8,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Computer Science,4th year,8.34,On-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.45,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.36,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Computer Science,2nd year,5.67,On-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.44,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.41,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.52,Off-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Data SCience,3rd year,8.25,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,1st year,8.7,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,1st year,8.69,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.66,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,2nd year,8.78,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Data SCience,2nd year,6.79,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.2,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.68,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,2nd year,7.71,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,1st year,7.89,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Data SCience,4th year,6.71,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,4th year,5.64,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,3rd year,6.71,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.23,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,3rd year,6.38,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.36,On-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Computer Science,4th year,7.18,Off-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Data SCience,4th year,6.22,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.27,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Data SCience,2nd year,8.33,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,5.17,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Data SCience,1st year,7.29,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Data SCience,4th year,8.3,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,1st year,8.93,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.84,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,3rd year,5.43,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,3rd year,6.87,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,3rd year,7.81,On-Campus,,,,,,,,,,,
